num;code;url;status_code;launch_date;launch_vehicle;launch_site;
1;2019-029L;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-029L;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
2;2019-029B;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-029B;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
3;2019-029C;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-029C;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
4;2019-029D;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-029D;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
5;2019-029E;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-029E;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
6;2019-029F;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-029F;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
7;2019-029G;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-029G;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
8;2019-029H;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-029H;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
9;2019-029J;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-029J;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
10;2019-029K;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-029K;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
11;2019-029A;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-029A;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
12;2019-029V;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-029V;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
13;2019-029N;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-029N;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
14;2019-029P;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-029P;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
15;STARLNK35;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=STARLNK35;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
16;2019-029R;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-029R;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
